bankId;cid;account
1;6667;PL88102024980000000000000667
1;6668;PL88102024980000000000000668
3;6668;PL88107719960000000000000669
1;6671;PL88102024980000000000000673
4;6671;PL88107719980000000000000674
1;6675;PL88102024980000000000000683
4;6675;PL88107719980000000000000684
1;6676;PL88102024980000000000000685
3;6676;PL88107719960000000000000686
1;6677;PL88102024980000000000000687
1;6678;PL88102024980000000000000688
4;6678;PL88107719980000000000000689
4;6678;PL88107719980000000000000690
1;6679;PL88102024980000000000000691
2;6679;PL88107719950000000000000693
4;6679;PL88107719980000000000000692
1;6681;PL88102024980000000000000696
4;6681;PL88107719980000000000000697
1;6682;PL88102024980000000000000698
2;6682;PL88107719950000000000000699
1;6684;PL88102024980000000000000706
2;6684;PL88107719950000000000000707
3;6684;PL88107719960000000000000708
3;6684;PL88107719960000000000000709
1;6686;PL88102024980000000000000727
1;6687;PL88102024980000000000000728
2;6687;PL88107719950000000000000730
4;6687;PL88107719980000000000000729
1;6689;PL88102024980000000000000733
3;6689;PL88107719960000000000000734
1;6690;PL88102024980000000000000735
2;6690;PL88107719950000000000000737
3;6690;PL88107719960000000000000738
3;6690;PL88107719960000000000000739
4;6690;PL88107719980000000000000736
1;6693;PL88102024980000000000000745
2;6693;PL88107719950000000000000746
3;6693;PL88107719960000000000000747
1;6694;PL88102024980000000000000748
1;6695;PL88102024980000000000000749
3;6695;PL88107719960000000000000750
3;6695;PL88107719960000000000000751
4;6695;PL88107719980000000000000752
1;6696;PL88102024980000000000000753
1;6698;PL88102024980000000000000755
1;6699;PL88102024980000000000000756
2;6699;PL88107719950000000000000757
3;6699;PL88107719960000000000000758
1;6702;PL88102024980000000000000763
2;6702;PL88107719950000000000000764
2;6702;PL88107719950000000000000765
2;6702;PL88107719950000000000000766
1;6703;PL88102024980000000000000767
3;6703;PL88107719960000000000000768
4;6703;PL88107719980000000000000769
4;6703;PL88107719980000000000000770
1;6704;PL88102024980000000000000771
1;6705;PL88102024980000000000000772
1;6706;PL88102024980000000000000773
1;6707;PL88102024980000000000000774
4;6707;PL88107719980000000000000775
1;6708;PL88102024980000000000000776
1;6709;PL88102024980000000000000777
1;6710;PL88102024980000000000000778
1;6712;PL88102024980000000000000781
1;6713;PL88102024980000000000000782
2;6713;PL88107719950000000000000783
1;6715;PL88102024980000000000000785
4;6715;PL88107719980000000000000786
1;6716;PL88102024980000000000000787
2;6716;PL88107719950000000000000789
2;6716;PL88107719950000000000000790
3;6716;PL88107719960000000000000788
1;6717;PL88102024980000000000000791
1;6719;PL88102024980000000000000793
1;6720;PL88102024980000000000000794
4;6720;PL88107719980000000000000795
1;6721;PL88102024980000000000000796
3;6721;PL88107719960000000000000797
1;6723;PL88102024980000000000000799
1;6724;PL88102024980000000000000800
4;6724;PL88107719980000000000000801
1;6725;PL88102024980000000000000802
2;6725;PL88107719950000000000000803
1;6727;PL88102024980000000000000805
1;6730;PL88102024980000000000000810
4;6730;PL88107719980000000000000811
1;6733;PL88102024980000000000000814
4;6733;PL88107719980000000000000815
4;6733;PL88107719980000000000000816
1;6734;PL88102024980000000000000817
3;6734;PL88107719960000000000000818
1;6738;PL88102024980000000000000823
2;6738;PL88107719950000000000000825
4;6738;PL88107719980000000000000824
1;6740;PL88102024980000000000000829
1;6741;PL88102024980000000000000830
1;6742;PL88102024980000000000000831
4;6742;PL88107719980000000000000832
1;6743;PL88102024980000000000000833
2;6743;PL88107719950000000000000834
1;6745;PL88102024980000000000000836
1;6748;PL88102024980000000000000839
1;6750;PL88102024980000000000000841
1;6751;PL88102024980000000000000842
1;6754;PL88102024980000000000000845
1;6755;PL88102024980000000000000846
